SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SURAKSHA,EQ,316.4,325.7,313.2,324.5,325.05,310.3,168468,54182150.90,27-Oct-2025,6595,INE877V01027
SURANASOL,EQ,31.85,32.89,31.51,31.58,31.67,31.85,64049,2038950.90,27-Oct-2025,1041,INE272L01022
SURANAT&P,EQ,21.3,21.43,21.05,21.1,21.14,21.18,81224,1723988.30,27-Oct-2025,731,INE130B01031
SURANI,SM,86,86,82.15,83.6,82.15,90.1,22200,1907270.00,27-Oct-2025,7,INE01ZJ01015
SBGLP,EQ,35.2,35.51,33.85,33.92,33.91,34.53,41689,1449814.25,27-Oct-2025,580,INE05ST01028
SURYAROSNI,EQ,264.8,280.05,264.3,277.85,278,264.8,683158,187193870.55,27-Oct-2025,18243,INE335A01020
SURYALAXMI,EQ,62.62,62.62,60.32,60.96,60.5,61.45,6837,418001.71,27-Oct-2025,124,INE713B01026
SURYODAY,EQ,155,157.15,151.45,156.11,156.6,153.72,379850,58818825.11,27-Oct-2025,6491,INE428Q01011
SUTLEJTEX,EQ,34.65,35.44,34.65,35.05,35,35.32,22802,799532.63,27-Oct-2025,219,INE645H01027
SUULD,BZ,1.87,1.88,1.73,1.73,1.73,1.83,92158,162769.90,27-Oct-2025,182,INE591Q01016
SUVEN,EQ,202.68,203.39,195.06,196.07,196.5,199.66,236633,46884540.89,27-Oct-2025,5120,INE495B01038
SUVIDHAA,EQ,3.99,4.07,3.71,3.91,3.91,3.99,155179,606162.35,27-Oct-2025,603,INE018401013
SUYOG,EQ,795,800,770,775.05,779.6,795,16633,12977149.45,27-Oct-2025,780,INE442P01014
SUZLON,EQ,54.1,54.16,53.63,53.71,53.71,53.82,24719719,1330761076.28,27-Oct-2025,74375,INE040H01021
SUZLON,T0,54,54,54,53.71,54,53.82,1,54.00,27-Oct-2025,1,INE040H01021
SVPGLOB,EQ,3.69,3.69,3.54,3.57,3.61,3.61,26129,94162.17,27-Oct-2025,121,INE308E01029
SWANCORP,EQ,432.85,452.4,430.9,449.9,451.2,432.5,1536797,684505132.15,27-Oct-2025,26485,INE665A01038
SWANDEF,BE,736.45,736.45,736.45,736.45,736.45,701.4,1886,1388944.70,27-Oct-2025,170,INE542F01020
SWARAJENG,EQ,4032,4062.5,4021.1,4040.1,4040.5,4031.2,6075,24550728.30,27-Oct-2025,1820,INE277A01016
SWARAJ,SM,188.6,195,188.5,194.8,194.9,192.4,27500,5312500.00,27-Oct-2025,35,INE0GMR01016
SWASTIK,SM,28.3,29.25,28.3,29.05,29.25,29.35,4800,137640.00,27-Oct-2025,4,INE0DGC01025
SWELECTES,EQ,816.75,826.1,801.4,805.7,803,817.15,25027,20293453.85,27-Oct-2025,3172,INE409B01013
SWIGGY,EQ,425.95,427.35,420.3,425.65,425.7,424.9,3890805,1649724936.60,27-Oct-2025,44838,INE00H001014
SYLVANPLY,SM,65.25,67.3,65.25,66.1,66.1,65.25,8000,531700.00,27-Oct-2025,4,INE01IH01015
SYMPHONY,EQ,900.9,906.1,899,901.75,901,903.7,37120,33474593.55,27-Oct-2025,7523,INE225D01027
SYNCOMF,EQ,16.67,16.87,16.55,16.59,16.63,16.67,986416,16445955.32,27-Oct-2025,4007,INE312C01025
SGIL,EQ,539.95,539.95,525,532.4,530.45,533.6,6632,3519379.10,27-Oct-2025,313,INE00QT01015
SYNGENE,EQ,662,666.8,658.1,660.4,660,659.85,308585,204442232.80,27-Oct-2025,13844,INE398R01022
SYRMA,EQ,770.35,772.6,742.9,754.95,760.85,773.85,1376999,1041117504.95,27-Oct-2025,47257,INE0DYJ01015
SYSTANGO,SM,232.7,237.2,230,235.5,236.95,230.4,12000,2805440.00,27-Oct-2025,29,INE0O7R01011
SYSTMTXC,EQ,158,167.21,156.53,161.59,164.66,157.85,71690,11405124.53,27-Oct-2025,2848,INE356B01024
TTL,EQ,10.13,10.25,9.8,10.05,10.06,10.13,201656,2023935.89,27-Oct-2025,424,INE592B01024
TAC,ST,870,870,812.55,816.05,814,855.3,90800,74969030.00,27-Oct-2025,372,INE0SOY01013
TAINWALCHM,EQ,207.65,207.65,201,202.24,201.99,204.45,2797,567273.09,27-Oct-2025,142,INE123C01018
TAJGVK,EQ,410.85,423,410.6,420.75,420.95,410.85,232039,96993809.10,27-Oct-2025,7834,INE586B01026
TAKE,BE,24.94,24.94,23.69,23.69,23.69,24.94,1159435,27999836.66,27-Oct-2025,1385,INE142I01023
TALBROAUTO,EQ,293.4,294.45,288,289.1,289,291.9,49830,14503439.45,27-Oct-2025,2238,INE187D01029
TMB,EQ,452.45,459,447,457.3,457,450.15,145450,66179499.95,27-Oct-2025,4830,INE668A01016
TNPL,EQ,151.69,155.29,151.69,154.24,154.49,153.14,73454,11319435.04,27-Oct-2025,1578,INE107A01015
TNPETRO,EQ,120.79,120.79,112.31,113.68,114.8,114.67,613214,71436321.79,27-Oct-2025,4481,INE148A01019
TNTELE,EQ,13,13.34,12.4,12.57,12.52,12.87,46248,592815.61,27-Oct-2025,264,INE141D01018
TANKUP,ST,485,492.1,485,492.1,492.1,468.7,12000,5862600.00,27-Oct-2025,9,INE0Z7N01017
TANLA,EQ,614.95,620.5,608.6,610.95,611,613.9,531265,325303768.95,27-Oct-2025,24850,INE483C01032
TAPIFRUIT,ST,92.3,96,92.05,96,96,96.9,2250,210262.50,27-Oct-2025,3,INE0M7001010
TARACHAND,EQ,88.55,88.55,84.64,85.26,85.48,87.67,135137,11645553.49,27-Oct-2025,2454,INE555Z01020
TARAPUR,BE,33.6,34.35,32.8,32.85,32.8,34.53,59049,1961644.05,27-Oct-2025,402,INE747K01017
TARC,EQ,146.1,147.79,143.11,145.66,144.65,146.17,272919,39557783.25,27-Oct-2025,5033,INE0EK901012
TARMAT,EQ,55.4,55.4,52.26,52.68,52.6,54.05,16818,892388.72,27-Oct-2025,551,INE924H01018
TARSONS,EQ,292.3,292.45,288.15,289.85,289.05,290.25,58165,16856145.10,27-Oct-2025,2768,INE144Z01023
TASTYBITE,EQ,9052.5,9088,8897.5,8991.5,8910,9000,631,5696571.00,27-Oct-2025,368,INE488B01017
